Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Maxime Comtois,L,L,117.0,15.0,21.0,36.0,-37.0,0.31,15.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,162.0,9.3,13.95
Michael Amadio,R,R,196.0,41.0,31.0,72.0,7.0,0.37,37.0,65.0,4.0,7.0,0.0,0.0,0.0,6.0,280.0,14.6,12.633333333333333
Michael Bunting,L,L,242.0,65.0,102.0,167.0,29.0,0.69,49.0,131.0,16.0,36.0,0.0,0.0,0.0,9.0,517.0,12.6,15.683333333333334
Michael Carcone,L,L,104.0,27.0,11.0,38.0,-7.0,0.37,25.0,35.0,1.0,2.0,1.0,1.0,0.0,4.0,162.0,16.7,11.6
Michael Del Zotto,L,D,26.0,3.0,10.0,13.0,-4.0,0.5,2.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,35.0,8.6,18.25
Michael Eyssimont,L,C,136.0,16.0,24.0,40.0,10.0,0.29,14.0,36.0,2.0,4.0,0.0,0.0,0.0,2.0,274.0,5.8,11.966666666666667
Michael Kesselring,R,D,74.0,5.0,19.0,24.0,10.0,0.32,5.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,84.0,6.0,15.95
Michael McCarron,R,R,153.0,21.0,19.0,40.0,11.0,0.26,20.0,37.0,0.0,1.0,1.0,2.0,0.0,5.0,184.0,11.4,11.516666666666667
Michael McLeod,R,C,202.0,20.0,45.0,65.0,-1.0,0.32,20.0,63.0,0.0,0.0,0.0,2.0,0.0,3.0,241.0,8.3,13.3
Michael Pezzetta,L,L,175.0,15.0,23.0,38.0,-7.0,0.22,15.0,37.0,0.0,1.0,0.0,0.0,0.0,1.0,161.0,9.3,8.35
Michael Raffl,L,L,76.0,7.0,9.0,16.0,-19.0,0.21,6.0,13.0,0.0,0.0,1.0,3.0,0.0,2.0,94.0,7.5,14.533333333333333
Michael Rasmussen,L,C,211.0,38.0,51.0,89.0,-15.0,0.42,37.0,82.0,0.0,3.0,1.0,4.0,0.0,5.0,317.0,12.0,14.916666666666666
Michael Sgarbossa,L,C,35.0,6.0,5.0,11.0,3.0,0.31,6.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,15.8,10.666666666666666
Michael Stone,R,D,59.0,8.0,9.0,17.0,5.0,0.29,7.0,13.0,1.0,4.0,0.0,0.0,0.0,2.0,116.0,6.9,14.083333333333334
Mika Zibanejad,R,C,244.0,94.0,150.0,244.0,70.0,1.0,43.0,133.0,47.0,98.0,4.0,13.0,2.0,11.0,691.0,13.6,19.783333333333335
Mikael Backlund,L,C,246.0,46.0,88.0,134.0,36.0,0.54,37.0,106.0,7.0,22.0,2.0,6.0,1.0,5.0,683.0,6.7,18.166666666666668
Mikael Granlund,L,C,228.0,33.0,132.0,165.0,-47.0,0.72,28.0,101.0,5.0,63.0,0.0,1.0,1.0,5.0,372.0,8.9,19.683333333333334
Mikael Pyyhtia,L,L,19.0,0.0,3.0,3.0,-7.0,0.16,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,13.2
Mike Hardman,L,L,29.0,0.0,2.0,2.0,-8.0,0.07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,9.533333333333333
Mike Hoffman,L,C,200.0,39.0,53.0,92.0,-55.0,0.46,31.0,63.0,8.0,29.0,0.0,0.0,2.0,7.0,373.0,10.5,15.483333333333333
Mike Matheson,L,D,204.0,30.0,97.0,127.0,-5.0,0.62,23.0,84.0,5.0,39.0,2.0,4.0,1.0,7.0,453.0,6.6,22.85
Mike Reilly,L,D,141.0,10.0,32.0,42.0,-2.0,0.3,8.0,32.0,0.0,8.0,2.0,2.0,0.0,1.0,273.0,3.7,18.016666666666666
Mikey Anderson,L,D,208.0,9.0,37.0,46.0,48.0,0.22,8.0,43.0,1.0,1.0,0.0,2.0,0.0,2.0,237.0,3.8,20.866666666666667
Mikhail Maltsev,L,L,23.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,7.75
Mikhail Sergachev,L,D,191.0,19.0,102.0,121.0,3.0,0.63,15.0,78.0,4.0,41.0,0.0,2.0,0.0,3.0,358.0,5.3,23.033333333333335
Mikko Rantanen,L,R,237.0,133.0,168.0,301.0,69.0,1.27,90.0,189.0,43.0,112.0,0.0,0.0,3.0,20.0,831.0,16.0,22.066666666666666
Milan Lucic,L,L,163.0,17.0,25.0,42.0,-23.0,0.26,15.0,39.0,2.0,3.0,0.0,0.0,0.0,0.0,169.0,10.1,11.8
Miles Wood,L,L,153.0,22.0,31.0,53.0,-6.0,0.35,19.0,49.0,2.0,3.0,1.0,1.0,0.0,3.0,336.0,6.6,12.916666666666666
Milos Kelemen,L,L,24.0,1.0,1.0,2.0,-7.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.9,7.683333333333334
Miro Heiskanen,L,D,220.0,25.0,138.0,163.0,23.0,0.74,18.0,96.0,7.0,66.0,0.0,1.0,2.0,5.0,524.0,4.8,25.0
Mitch Marner,R,R,221.0,91.0,190.0,281.0,62.0,1.27,60.0,183.0,23.0,88.0,8.0,10.0,3.0,11.0,578.0,15.7,21.15
Mitchell Chaffee,R,R,32.0,4.0,3.0,7.0,3.0,0.22,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.3,11.05
Mitchell Stephens,R,C,50.0,2.0,7.0,9.0,-6.0,0.18,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.1,10.2
Morgan Barron,L,C,177.0,21.0,23.0,44.0,10.0,0.25,20.0,39.0,0.0,2.0,1.0,3.0,0.0,5.0,239.0,8.8,11.483333333333333
Morgan Frost,L,C,207.0,37.0,66.0,103.0,-19.0,0.5,32.0,85.0,5.0,18.0,0.0,0.0,0.0,4.0,375.0,9.9,15.516666666666667
Morgan Geekie,R,C,218.0,33.0,56.0,89.0,4.0,0.41,28.0,72.0,5.0,17.0,0.0,0.0,0.0,4.0,308.0,10.7,12.9
Morgan Rielly,L,D,219.0,21.0,146.0,167.0,14.0,0.76,17.0,104.0,4.0,60.0,0.0,3.0,0.0,4.0,520.0,4.0,23.133333333333333
Moritz Seider,R,D,246.0,21.0,113.0,134.0,-27.0,0.54,14.0,76.0,6.0,53.0,1.0,5.0,2.0,5.0,462.0,4.6,22.85
Nate Schmidt,L,D,211.0,13.0,52.0,65.0,21.0,0.31,8.0,44.0,5.0,20.0,0.0,1.0,0.0,2.0,293.0,4.4,18.616666666666667
Nate Thompson,L,C,33.0,1.0,2.0,3.0,-15.0,0.09,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.4,11.966666666666667
