Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
Jesper Boqvist,L,C,173.0,26.0,32.0,58.0,11.0,0.34,26.0,57.0,0.0,1.0,0.0,0.0,1.0,4.0,192.0,13.5,11.983333333333333
Jesper Bratt,L,L,240.0,85.0,144.0,229.0,8.0,0.95,67.0,161.0,18.0,67.0,0.0,1.0,1.0,16.0,657.0,12.9,18.05
Jesper Fast,R,R,235.0,30.0,52.0,82.0,33.0,0.35,29.0,76.0,1.0,2.0,0.0,4.0,0.0,2.0,252.0,11.9,14.1
Jesper Froden,R,R,21.0,1.0,4.0,5.0,8.0,0.24,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,10.95
Jesperi Kotkaniemi,L,C,227.0,42.0,57.0,99.0,9.0,0.44,37.0,80.0,4.0,17.0,1.0,2.0,0.0,5.0,338.0,12.4,13.333333333333334
Jesse Puljujarvi,R,R,162.0,22.0,34.0,56.0,11.0,0.35,18.0,49.0,4.0,7.0,0.0,0.0,0.0,2.0,314.0,7.0,13.416666666666666
Jesse Ylonen,R,R,110.0,12.0,17.0,29.0,-7.0,0.26,11.0,28.0,1.0,1.0,0.0,0.0,0.0,2.0,109.0,11.0,11.483333333333333
Jimmy Vesey,L,L,229.0,32.0,34.0,66.0,-15.0,0.29,29.0,63.0,0.0,0.0,3.0,3.0,0.0,10.0,349.0,9.2,13.416666666666666
Jiri Smejkal,L,L,20.0,1.0,1.0,2.0,-6.0,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.483333333333333
Joe Pavelski,R,C,246.0,82.0,143.0,225.0,65.0,0.91,46.0,151.0,36.0,73.0,0.0,1.0,1.0,8.0,594.0,13.8,17.666666666666668
Joe Snively,L,C,27.0,6.0,5.0,11.0,5.0,0.41,5.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,16.2,11.666666666666666
Joe Thornton,L,C,34.0,5.0,5.0,10.0,-10.0,0.29,2.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,26.0,19.2,11.1
Joe Veleno,L,C,227.0,29.0,34.0,63.0,-42.0,0.28,25.0,53.0,4.0,9.0,0.0,1.0,0.0,2.0,244.0,11.9,13.316666666666666
Joel Armia,R,R,169.0,30.0,23.0,53.0,-18.0,0.31,25.0,45.0,1.0,4.0,4.0,4.0,0.0,3.0,311.0,9.7,14.75
Joel Edmundson,L,D,138.0,6.0,19.0,25.0,-32.0,0.18,6.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,147.0,4.1,18.45
Joel Eriksson Ek,L,C,232.0,79.0,95.0,174.0,38.0,0.75,40.0,109.0,36.0,61.0,3.0,4.0,2.0,9.0,737.0,10.7,19.366666666666667
Joel Farabee,L,L,227.0,54.0,69.0,123.0,-25.0,0.54,50.0,110.0,3.0,12.0,1.0,1.0,1.0,4.0,446.0,12.1,16.866666666666667
Joel Hanley,L,D,112.0,3.0,10.0,13.0,-5.0,0.12,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.9,12.6
Joel Kiviranta,L,L,182.0,12.0,13.0,25.0,-16.0,0.14,11.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,192.0,6.3,10.633333333333333
Joey Anderson,R,R,98.0,11.0,15.0,26.0,-3.0,0.27,11.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,10.2,12.583333333333334
Johan Larsson,L,L,43.0,7.0,14.0,21.0,-4.0,0.49,5.0,18.0,2.0,3.0,0.0,0.0,0.0,1.0,44.0,15.9,15.916666666666666
John Beecher,L,C,52.0,7.0,3.0,10.0,-6.0,0.19,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,18.4,10.616666666666667
John Carlson,R,D,200.0,36.0,116.0,152.0,-1.0,0.76,19.0,90.0,16.0,58.0,1.0,4.0,0.0,7.0,495.0,7.3,24.583333333333332
John Hayden,R,C,64.0,4.0,2.0,6.0,-11.0,0.09,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.3,10.4
John Klingberg,R,D,155.0,16.0,69.0,85.0,-60.0,0.55,13.0,53.0,3.0,32.0,0.0,0.0,3.0,5.0,265.0,6.0,21.366666666666667
John Leonard,L,L,26.0,3.0,1.0,4.0,-6.0,0.15,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,8.8,10.316666666666666
John Ludvig,L,D,33.0,3.0,2.0,5.0,-12.0,0.15,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,12.5,11.8
John Marino,R,D,220.0,9.0,59.0,68.0,16.0,0.31,9.0,63.0,0.0,2.0,0.0,3.0,0.0,1.0,214.0,4.2,20.866666666666667
John Tavares,L,C,239.0,92.0,129.0,221.0,-13.0,0.92,55.0,136.0,37.0,85.0,0.0,0.0,2.0,18.0,793.0,11.6,17.866666666666667
Johnathan Kovacevic,R,D,143.0,9.0,19.0,28.0,15.0,0.2,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,6.2,16.85
Johnny Gaudreau,L,L,243.0,73.0,176.0,249.0,4.0,1.02,63.0,182.0,10.0,67.0,0.0,0.0,6.0,16.0,642.0,11.4,18.933333333333334
Jon Merrill,L,D,207.0,10.0,33.0,43.0,13.0,0.21,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,6.9,15.066666666666666
Jonah Gadjovich,L,L,117.0,6.0,8.0,14.0,-12.0,0.12,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,6.2,8.383333333333333
Jonas Brodin,L,D,195.0,15.0,56.0,71.0,44.0,0.36,14.0,60.0,1.0,8.0,0.0,3.0,0.0,2.0,333.0,4.5,23.233333333333334
Jonas Rondbjerg,L,R,63.0,3.0,7.0,10.0,-3.0,0.16,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.3,10.45
Jonas Siegenthaler,L,D,207.0,6.0,38.0,44.0,15.0,0.21,5.0,42.0,1.0,1.0,0.0,1.0,0.0,1.0,239.0,2.5,20.066666666666666
Jonatan Berggren,L,R,79.0,17.0,17.0,34.0,-15.0,0.43,12.0,25.0,5.0,9.0,0.0,0.0,0.0,0.0,112.0,15.2,13.066666666666666
Jonathan Dahlen,L,C,61.0,12.0,10.0,22.0,-25.0,0.36,9.0,15.0,3.0,7.0,0.0,0.0,0.0,2.0,105.0,11.4,13.8
Jonathan Drouin,L,L,171.0,27.0,78.0,105.0,-15.0,0.61,22.0,73.0,5.0,32.0,0.0,0.0,1.0,2.0,258.0,10.5,16.85
Jonathan Gruden,L,C,16.0,1.0,0.0,1.0,-2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.1,8.05
Jonathan Huberdeau,L,C,240.0,57.0,165.0,222.0,8.0,0.93,41.0,145.0,13.0,72.0,3.0,5.0,2.0,10.0,491.0,11.6,17.9
Jonathan Marchessault,R,R,234.0,100.0,92.0,192.0,3.0,0.82,78.0,139.0,22.0,53.0,0.0,0.0,3.0,13.0,751.0,13.3,17.55
Jonathan Toews,L,C,124.0,27.0,41.0,68.0,-45.0,0.55,13.0,48.0,13.0,19.0,1.0,1.0,1.0,3.0,212.0,12.7,17.583333333333332
Jonny Brodzinski,R,C,96.0,8.0,15.0,23.0,1.0,0.24,7.0,21.0,1.0,2.0,0.0,0.0,0.0,2.0,150.0,5.3,10.75
Joonas Donskoi,R,R,75.0,2.0,20.0,22.0,-10.0,0.29,2.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,89.0,2.3,14.833333333333334
Jordan Eberle,R,R,239.0,58.0,93.0,151.0,-21.0,0.63,45.0,115.0,13.0,36.0,0.0,0.0,2.0,9.0,509.0,11.4,17.35
Jordan Greenway,L,L,191.0,26.0,40.0,66.0,31.0,0.35,24.0,60.0,2.0,5.0,0.0,1.0,0.0,4.0,316.0,8.2,15.166666666666666
Jordan Gross,R,D,16.0,3.0,0.0,3.0,-3.0,0.19,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,12.5,18.133333333333333
Jordan Harris,L,D,131.0,8.0,24.0,32.0,-5.0,0.24,8.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,122.0,6.6,17.966666666666665
Jordan Kyrou,R,C,235.0,95.0,120.0,215.0,-40.0,0.91,71.0,150.0,24.0,63.0,0.0,2.0,1.0,13.0,711.0,13.4,17.666666666666668
Jordan Martinook,L,L,223.0,33.0,48.0,81.0,7.0,0.36,31.0,78.0,0.0,0.0,2.0,3.0,0.0,6.0,387.0,8.5,14.1
Jordan Oesterle,L,D,119.0,4.0,17.0,21.0,-22.0,0.18,4.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,135.0,3.0,16.25
Jordan Spence,R,D,101.0,4.0,29.0,33.0,6.0,0.33,3.0,25.0,1.0,8.0,0.0,0.0,0.0,1.0,127.0,3.2,15.666666666666666
Jordan Staal,L,C,239.0,44.0,56.0,100.0,4.0,0.42,41.0,91.0,1.0,3.0,2.0,6.0,0.0,8.0,393.0,11.2,16.083333333333332
Jordie Benn,L,D,51.0,2.0,8.0,10.0,0.0,0.2,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,4.0,15.166666666666666
Josh Anderson,R,R,216.0,49.0,35.0,84.0,-51.0,0.39,42.0,74.0,6.0,9.0,1.0,1.0,0.0,6.0,456.0,10.8,16.5
Josh Archibald,R,R,70.0,6.0,7.0,13.0,4.0,0.19,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,8.0,9.866666666666667
Josh Bailey,L,R,138.0,22.0,47.0,69.0,-4.0,0.5,20.0,55.0,2.0,14.0,0.0,0.0,0.0,3.0,159.0,13.8,16.083333333333332
Josh Leivo,R,L,58.0,5.0,14.0,19.0,1.0,0.33,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,5.0,11.566666666666666
Josh Manson,R,D,170.0,16.0,35.0,51.0,13.0,0.3,15.0,49.0,0.0,0.0,1.0,2.0,0.0,2.0,256.0,6.3,18.233333333333334
Josh Morrissey,L,D,238.0,38.0,144.0,182.0,33.0,0.76,28.0,120.0,10.0,62.0,0.0,0.0,2.0,10.0,541.0,7.0,24.016666666666666
Josh Norris,L,C,124.0,53.0,35.0,88.0,-14.0,0.71,32.0,52.0,21.0,35.0,0.0,1.0,1.0,11.0,302.0,17.6,18.166666666666668
Joshua Brown,R,D,171.0,7.0,16.0,23.0,-23.0,0.13,7.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,4.5,14.983333333333333
Joshua Mahura,L,D,150.0,7.0,25.0,32.0,1.0,0.21,7.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,139.0,5.0,13.75
Joshua Roy,L,R,23.0,4.0,5.0,9.0,-2.0,0.39,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.8,12.133333333333333
Juho Lammikko,L,L,75.0,7.0,8.0,15.0,-6.0,0.2,7.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,10.5,12.283333333333333
Jujhar Khaira,L,L,79.0,9.0,8.0,17.0,-15.0,0.22,7.0,14.0,1.0,2.0,1.0,1.0,0.0,0.0,92.0,9.8,13.716666666666667
Julien Gauthier,R,R,133.0,17.0,13.0,30.0,-20.0,0.23,17.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,154.0,11.0,9.566666666666666
Juraj Slafkovsky,L,L,121.0,24.0,36.0,60.0,-32.0,0.5,17.0,44.0,7.0,16.0,0.0,0.0,0.0,2.0,194.0,12.4,16.1
Justin Bailey,R,R,73.0,5.0,9.0,14.0,-20.0,0.19,5.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,5.8,10.866666666666667
Justin Barron,R,D,94.0,12.0,18.0,30.0,-8.0,0.32,9.0,26.0,2.0,3.0,1.0,1.0,1.0,2.0,113.0,10.6,17.55
Justin Braun,R,D,120.0,6.0,14.0,20.0,1.0,0.17,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,5.2,17.6
Justin Brazeau,R,R,19.0,5.0,2.0,7.0,4.0,0.37,3.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,31.0,16.1,11.116666666666667
Justin Danforth,R,R,122.0,22.0,21.0,43.0,-18.0,0.35,22.0,42.0,0.0,1.0,0.0,0.0,0.0,2.0,168.0,13.1,13.6
Justin Dowling,L,C,24.0,3.0,2.0,5.0,-5.0,0.21,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,9.666666666666666
Justin Faulk,R,D,218.0,29.0,98.0,127.0,35.0,0.58,25.0,102.0,4.0,24.0,0.0,1.0,2.0,10.0,495.0,5.9,22.916666666666668
Justin Holl,R,D,187.0,5.0,41.0,46.0,37.0,0.25,4.0,43.0,0.0,0.0,1.0,3.0,0.0,2.0,138.0,3.6,19.183333333333334
Justin Schultz,R,D,217.0,18.0,65.0,83.0,-34.0,0.38,15.0,55.0,3.0,28.0,0.0,0.0,2.0,7.0,290.0,6.2,17.066666666666666
Juuso Parssinen,L,C,89.0,14.0,23.0,37.0,-7.0,0.42,11.0,26.0,3.0,11.0,0.0,0.0,1.0,3.0,103.0,13.6,14.466666666666667
Juuso Valimaki,L,D,155.0,6.0,47.0,53.0,2.0,0.34,5.0,37.0,1.0,16.0,0.0,0.0,0.0,1.0,173.0,3.5,18.433333333333334
K'Andre Miller,L,D,241.0,24.0,69.0,93.0,40.0,0.39,23.0,85.0,1.0,5.0,0.0,3.0,2.0,7.0,311.0,7.7,21.366666666666667
Kaapo Kakko,L,R,186.0,38.0,39.0,77.0,27.0,0.41,36.0,71.0,2.0,6.0,0.0,0.0,0.0,6.0,278.0,13.7,14.666666666666666
Kaedan Korczak,R,D,37.0,1.0,10.0,11.0,10.0,0.3,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,2.1,16.8
Kaiden Guhle,L,D,114.0,10.0,30.0,40.0,-27.0,0.35,10.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,143.0,7.0,20.716666666666665
Kailer Yamamoto,R,R,198.0,38.0,44.0,82.0,2.0,0.41,31.0,66.0,5.0,12.0,2.0,4.0,0.0,9.0,272.0,14.0,15.333333333333334
Kale Clague,L,D,72.0,2.0,13.0,15.0,-13.0,0.21,2.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,52.0,3.9,15.8
Karson Kuhlman,R,C,91.0,6.0,11.0,17.0,-6.0,0.19,6.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,116.0,5.2,11.866666666666667
Kasperi Kapanen,R,R,218.0,32.0,56.0,88.0,-11.0,0.4,27.0,74.0,3.0,11.0,2.0,3.0,1.0,8.0,344.0,9.3,14.233333333333333
Keegan Kolesar,R,R,230.0,23.0,37.0,60.0,-8.0,0.26,20.0,56.0,1.0,1.0,2.0,3.0,0.0,2.0,230.0,10.0,11.65
Keith Yandle,L,D,77.0,1.0,18.0,19.0,-47.0,0.25,0.0,8.0,1.0,11.0,0.0,0.0,0.0,0.0,105.0,1.0,13.983333333333333
Kent Johnson,L,C,130.0,22.0,37.0,59.0,-19.0,0.45,17.0,45.0,5.0,14.0,0.0,0.0,2.0,4.0,193.0,11.4,14.05
Kevin Bahl,L,D,141.0,4.0,19.0,23.0,-1.0,0.16,4.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,3.8,16.2
Kevin Connauton,L,D,39.0,1.0,2.0,3.0,-3.0,0.08,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.3,13.083333333333334
Kevin Fiala,L,L,233.0,85.0,145.0,230.0,26.0,0.99,61.0,158.0,23.0,71.0,1.0,1.0,4.0,11.0,695.0,12.2,17.766666666666666
Kevin Gravel,L,D,23.0,0.0,1.0,1.0,-10.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.266666666666667
Kevin Hayes,L,R,208.0,41.0,73.0,114.0,-42.0,0.55,33.0,88.0,8.0,25.0,0.0,1.0,0.0,4.0,488.0,8.4,16.466666666666665
Kevin Korchinski,L,D,76.0,5.0,10.0,15.0,-39.0,0.2,5.0,8.0,0.0,7.0,0.0,0.0,1.0,2.0,93.0,5.4,19.616666666666667
Kevin Labanc,R,R,139.0,20.0,28.0,48.0,-48.0,0.35,16.0,38.0,4.0,10.0,0.0,0.0,0.0,1.0,225.0,8.9,13.266666666666667
Kevin Rooney,L,C,111.0,9.0,8.0,17.0,-7.0,0.15,9.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,8.0,12.3
Kevin Shattenkirk,R,D,218.0,18.0,68.0,86.0,-31.0,0.39,14.0,53.0,4.0,33.0,0.0,0.0,0.0,1.0,386.0,4.7,19.116666666666667
Kevin Stenlund,R,C,138.0,17.0,7.0,24.0,-7.0,0.17,13.0,20.0,0.0,0.0,4.0,4.0,0.0,3.0,147.0,11.6,12.116666666666667
Kiefer Sherwood,R,L,111.0,18.0,24.0,42.0,24.0,0.38,17.0,40.0,1.0,2.0,0.0,0.0,0.0,3.0,176.0,10.2,12.216666666666667
Kieffer Bellows,L,L,73.0,9.0,13.0,22.0,-9.0,0.3,9.0,18.0,0.0,4.0,0.0,0.0,0.0,3.0,111.0,8.1,11.033333333333333
Kirby Dach,R,C,130.0,23.0,43.0,66.0,-18.0,0.51,15.0,41.0,8.0,22.0,0.0,3.0,1.0,2.0,226.0,10.2,18.166666666666668
Kirill Kaprizov,L,L,223.0,133.0,146.0,279.0,42.0,1.25,83.0,175.0,50.0,104.0,0.0,0.0,6.0,19.0,827.0,16.1,20.533333333333335
Kirill Marchenko,R,R,137.0,44.0,23.0,67.0,-28.0,0.49,28.0,46.0,16.0,21.0,0.0,0.0,1.0,2.0,324.0,13.6,16.316666666666666
Klim Kostin,L,C,149.0,23.0,21.0,44.0,-3.0,0.3,23.0,43.0,0.0,1.0,0.0,0.0,0.0,3.0,130.0,17.7,10.083333333333334
Kole Lind,R,R,24.0,2.0,6.0,8.0,-1.0,0.33,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.5,11.583333333333334
Kris Letang,R,D,224.0,32.0,128.0,160.0,20.0,0.71,23.0,110.0,8.0,48.0,1.0,2.0,5.0,8.0,539.0,5.9,25.116666666666667
Kris Russell,L,D,31.0,2.0,7.0,9.0,7.0,0.29,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,5.9,15.433333333333334
Kristian Vesalainen,L,L,53.0,2.0,1.0,3.0,-8.0,0.06,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.7,8.666666666666666
Kurtis MacDermid,L,L,147.0,5.0,9.0,14.0,4.0,0.1,5.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,6.1,6.9
Kyle Burroughs,R,D,163.0,5.0,13.0,18.0,-49.0,0.11,5.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0,3.0,17.016666666666666
Kyle Capobianco,L,D,59.0,4.0,7.0,11.0,-11.0,0.19,3.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,54.0,7.4,15.133333333333333
Kyle Clifford,L,L,27.0,1.0,4.0,5.0,-4.0,0.19,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.2,8.733333333333333
Kyle Connor,L,L,226.0,112.0,122.0,234.0,-20.0,1.04,88.0,155.0,21.0,76.0,3.0,3.0,6.0,27.0,811.0,13.8,20.733333333333334
Kyle MacLean,L,C,32.0,4.0,5.0,9.0,5.0,0.28,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.4,10.083333333333334
Kyle Okposo,R,R,216.0,44.0,51.0,95.0,-21.0,0.44,29.0,69.0,11.0,22.0,4.0,4.0,0.0,4.0,438.0,10.1,14.983333333333333
Kyle Palmieri,R,C,206.0,61.0,59.0,120.0,-3.0,0.58,46.0,89.0,15.0,31.0,0.0,0.0,1.0,17.0,496.0,12.3,16.65
Kyle Turris,R,C,23.0,1.0,3.0,4.0,-5.0,0.17,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.8,8.616666666666667
Landon Slaggert,L,L,16.0,1.0,3.0,4.0,1.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.1,11.266666666666667
Lane Pederson,R,C,56.0,3.0,5.0,8.0,-17.0,0.14,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.9,11.2
Lars Eller,L,C,238.0,38.0,47.0,85.0,-2.0,0.36,32.0,75.0,4.0,7.0,2.0,3.0,1.0,3.0,410.0,9.3,15.6
Lassi Thomson,R,D,18.0,0.0,5.0,5.0,-10.0,0.28,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,16.533333333333335
Laurent Dauphin,L,C,59.0,5.0,8.0,13.0,-14.0,0.22,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.7,12.283333333333333
Lawrence Pilut,L,D,17.0,1.0,2.0,3.0,-4.0,0.18,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.1,12.8
Lawson Crouse,L,L,223.0,67.0,54.0,121.0,-19.0,0.54,50.0,94.0,16.0,25.0,1.0,2.0,0.0,9.0,453.0,14.8,17.316666666666666
Leo Carlsson,L,C,55.0,12.0,17.0,29.0,-11.0,0.53,8.0,20.0,4.0,9.0,0.0,0.0,0.0,0.0,109.0,11.0,18.116666666666667
Leon Draisaitl,L,C,241.0,148.0,196.0,344.0,50.0,1.43,69.0,197.0,77.0,142.0,2.0,5.0,4.0,29.0,742.0,20.0,21.583333333333332
Liam Foudy,L,C,76.0,7.0,10.0,17.0,-29.0,0.22,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.3,11.766666666666667
Liam O'Brien,L,C,170.0,10.0,18.0,28.0,-4.0,0.16,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,6.8,10.233333333333333
Lias Andersson,L,C,21.0,1.0,1.0,2.0,-8.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,3.3,10.516666666666667
Libor Hajek,L,D,33.0,1.0,1.0,2.0,-8.0,0.06,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,13.2
Logan Brown,L,C,69.0,6.0,11.0,17.0,-7.0,0.25,6.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,11.5,10.283333333333333
Logan Cooley,L,C,82.0,20.0,24.0,44.0,-13.0,0.54,16.0,30.0,3.0,13.0,1.0,1.0,1.0,2.0,151.0,13.3,15.816666666666666
Logan Couture,L,C,165.0,50.0,74.0,124.0,-41.0,0.75,37.0,83.0,10.0,37.0,3.0,4.0,3.0,7.0,404.0,12.4,19.016666666666666
Logan O'Connor,R,R,220.0,30.0,45.0,75.0,34.0,0.34,24.0,65.0,0.0,0.0,6.0,10.0,0.0,5.0,316.0,9.5,14.283333333333333
Logan Shaw,R,R,17.0,1.0,2.0,3.0,-3.0,0.18,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.9,9.383333333333333
Logan Stankoven,R,C,24.0,6.0,8.0,14.0,10.0,0.58,5.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,51.0,11.8,14.666666666666666
Logan Stanley,L,D,102.0,3.0,15.0,18.0,4.0,0.18,3.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,120.0,2.5,14.833333333333334
Loui Eriksson,L,L,73.0,3.0,16.0,19.0,-18.0,0.26,2.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,81.0,3.7,12.916666666666666
Louis Crevier,R,D,24.0,0.0,3.0,3.0,-16.0,0.13,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,15.683333333333334
Lucas Carlsson,L,D,42.0,3.0,6.0,9.0,2.0,0.21,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,12.583333333333334
Lucas Raymond,R,L,238.0,71.0,103.0,174.0,-61.0,0.73,55.0,121.0,16.0,53.0,0.0,0.0,5.0,10.0,481.0,14.8,17.783333333333335
Lukas Reichel,L,L,99.0,12.0,20.0,32.0,-45.0,0.32,10.0,27.0,2.0,5.0,0.0,0.0,0.0,0.0,141.0,8.5,14.533333333333333
Lukas Rousek,L,R,17.0,1.0,3.0,4.0,1.0,0.24,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.3,10.7
Lukas Sedlak,L,C,30.0,3.0,5.0,8.0,4.0,0.27,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,6.8,12.2
Luke Evangelista,R,R,104.0,23.0,31.0,54.0,7.0,0.52,20.0,42.0,3.0,12.0,0.0,0.0,0.0,2.0,226.0,10.2,14.566666666666666
Luke Glendening,R,C,233.0,22.0,11.0,33.0,-28.0,0.14,19.0,28.0,0.0,0.0,3.0,5.0,0.0,2.0,238.0,9.2,12.633333333333333
Luke Hughes,L,D,84.0,10.0,39.0,49.0,-25.0,0.58,6.0,24.0,4.0,25.0,0.0,0.0,2.0,2.0,137.0,7.3,21.35
Luke Kunin,R,C,190.0,29.0,24.0,53.0,-50.0,0.28,25.0,42.0,4.0,11.0,0.0,0.0,0.0,1.0,281.0,10.3,14.866666666666667
Luke Schenn,R,D,199.0,10.0,36.0,46.0,24.0,0.23,9.0,43.0,0.0,0.0,1.0,3.0,0.0,1.0,240.0,4.2,16.266666666666666
MacKenzie Entwistle,R,R,188.0,14.0,19.0,33.0,-56.0,0.18,13.0,31.0,0.0,1.0,1.0,1.0,0.0,1.0,150.0,9.3,11.233333333333333
MacKenzie Weegar,R,D,243.0,32.0,95.0,127.0,57.0,0.52,27.0,101.0,4.0,21.0,1.0,5.0,1.0,5.0,571.0,5.6,22.466666666666665
Mackenzie MacEachern,L,L,22.0,0.0,3.0,3.0,-2.0,0.14,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,7.933333333333334
Marat Khusnutdinov,L,C,16.0,1.0,3.0,4.0,-3.0,0.25,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,16.7,13.116666666666667
Marc Staal,L,D,188.0,7.0,29.0,36.0,11.0,0.19,7.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,151.0,4.6,17.083333333333332
Marc-Edouard Vlasic,L,D,210.0,10.0,34.0,44.0,-63.0,0.21,10.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,202.0,5.0,16.35
Marco Rossi,L,C,103.0,21.0,20.0,41.0,-12.0,0.4,19.0,35.0,2.0,6.0,0.0,0.0,1.0,2.0,185.0,11.4,15.933333333333334
Marco Scandella,L,D,155.0,6.0,18.0,24.0,21.0,0.15,5.0,21.0,0.0,0.0,1.0,3.0,0.0,1.0,135.0,4.4,15.716666666666667
Marcus Bjork,R,D,33.0,3.0,8.0,11.0,-9.0,0.33,2.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,34.0,8.8,18.15
Marcus Foligno,L,L,194.0,40.0,45.0,85.0,29.0,0.44,35.0,74.0,5.0,10.0,0.0,1.0,1.0,6.0,237.0,16.9,15.383333333333333
Marcus Johansson,L,L,227.0,39.0,66.0,105.0,-38.0,0.46,28.0,69.0,9.0,34.0,2.0,2.0,1.0,9.0,360.0,10.8,16.166666666666668
Marcus Pettersson,L,D,222.0,7.0,66.0,73.0,40.0,0.33,7.0,73.0,0.0,0.0,0.0,0.0,1.0,1.0,285.0,2.5,19.75
